id,name,frequency,actionType,trigger,target,effect,createdAt,updatedAt
1,Abominable,Static,,,,"The user’s Base HP is increased by +5. Additionally, the user ignores the Recoil Keyword when attacking.",3/7/2021 0:43:28,3/7/2021 0:43:28
2,Absorb Force,Scene,Free Action,The user is damaged by a Physical Attack,,The user takes damage as if the attack was resisted one step further.,3/7/2021 0:43:28,3/7/2021 0:43:28
3,Accelerate,Scene x2,Standard Action,,,"The user may activate a damaging Move to which they add STAB with Priority. If the Move hits, the user adds half their Speed Stat to the Damage Roll. If the Move already had Priority, the attack gains a +4 Bonus to Accuracy.",3/7/2021 0:43:28,3/7/2021 0:43:28
4,Adaptability,Static,,,,The user gains a +1d10 Bonus to Damage Rolls with Moves with which they apply STAB.,3/7/2021 0:43:28,3/7/2021 0:43:28
5,Aerilate,At-Will,Free Action,The user uses a Normal-Type damaging Move,,The Move is changed to be Flying-Type.,3/7/2021 0:43:28,3/7/2021 0:43:28
6,Aftermath,Scene,Free Action,The user becomes Fainted,,The user creates a Burst 1. Everything in the Burst loses three Ticks of Hit Points.,3/7/2021 0:43:28,3/7/2021 0:43:28
7,Air Lock,Scene,Free Action,,,The weather is set to normal as long as the Pokémon with Air Lock wants it to remain that way. The user may continue to sustain this effect as a Swift Action each round.,3/7/2021 0:43:28,3/7/2021 0:43:28
8,Ambush,Scene,Free Action,,,"The user may activate this Ability to use a Move with a Damage Base of 6 (before applying STAB or other modifiers) or lower as if it had the Priority keyword. If it hits, the target is Flinched and has a -2 penalty to Accuracy Rolls for 1 full round.",3/7/2021 0:43:28,3/7/2021 0:43:28
9,Analytic,Static,,,,"Whenever the user targets uses a damaging Move on a Pokémon or Trainer that has acted before it during Initiative this Round, that Move deals an additional +5 Damage.",3/7/2021 0:43:28,3/7/2021 0:43:28
10,Anchored,Static,,,,"Dhelmise has an Anchor token on the field. Dhelmise cannot move or be moved more than 3 meters away from its Anchor, willingly or otherwise. The Anchor token itself cannot be pushed, pulled, or moved against Dhelmise's will in any way. Dhelmise may shift their Anchor Token as a Swift Action, moving it to any open space within 3 meters of itself. Bonus: When the user Shifts the Anchor, they may immediately afterwards originate an attack from its Anchor, giving those attacks the following properties: the attack's range changes to ""Melee, 1 Target"", the attack deals +2d6 damage, and the attack's Class changes to Physical if it wasn't already.",3/7/2021 0:43:28,3/7/2021 0:43:28
11,Anger Point,At-Will,Free Action,,,"When the Pokémon receives a Critical Hit, they become Enraged and gain +6 Attack Combat Stages.",3/7/2021 0:43:28,3/7/2021 0:43:28
12,Anticipation,At-Will,Swift Action,,Pokémon or Trainers,"The target reveals if they have any Moves that are Super-Effective against the Pokémon with Anticipation. You may not target a Pokémon or Trainer more than once per encounter with Anticipation. Anticipation only reveals whether the opponent does or does not have those moves, not the specific moves themselves.",3/7/2021 0:43:28,3/7/2021 0:43:28
13,Aqua Boost,At-Will,Free Action,An adjacent Ally uses a damaging Water-Type Move,,The allied target gains a +5 Bonus to its damage roll with the triggering Move. A target may not benefit from more than one instance of Aqua Boost at a time.,3/7/2021 0:43:28,3/7/2021 0:43:28
14,Aqua Bullet,Static,,,,"Connection - Aqua Jet. The user may use Water- Type Moves as a Full Action to gain Sky 10 and shift in a straight line before attempting to use their Move. When shifting this way, the user does not provoke attacks of opportunity.",3/7/2021 0:43:28,3/7/2021 0:43:28
15,Arena Trap,Scene,Free Action,Target: Pokémon or Trainers,Pokémon or Trainers,"Once Arena Trap is activated, all foes within 5 meters of the user are considered Slowed and Trapped. This does not affect targets of the Flying Type, or with a Levitate, Sky, or Burrow Speed of 4 or higher. The user may end the effect as a Free Action, and the effect ends if the user is Fainted or returned to a Poké Ball.",3/7/2021 0:43:28,3/7/2021 0:43:28
16,Aroma Veil,Static,,,,"The user and all adjacent Pokémon and Trainers cannot become Confused, Enraged, or Suppressed.",3/7/2021 0:43:28,3/7/2021 0:43:28
