id,name,effect,createdAt,updatedAt
1,Adorable Fashion,The holder may activate this item once a Scene as a Free Action to gain +2 Evasion for one full round.,3/10/2021 17:06:41,3/10/2021 17:06:41
2,Elegant Fashion,The holder may activate this item once a Scene as a Free Action when losing Combat Stages from a foe’s effect to instead not lose those Combat Stages.,3/10/2021 17:06:41,3/10/2021 17:06:41
3,Rad Fashion,The holder may activate this item once a Scene as a Free Action to gain a +4 bonus to a single Save Check.,3/10/2021 17:06:41,3/10/2021 17:06:41
4,Rough Fashion,The holder may activate this item once a Scene as a Free Action to cause a foe within 5 meters to take a -2 penalty to all rolls for one full round.,3/10/2021 17:06:41,3/10/2021 17:06:41
5,Slick Fashion,The holder may activate this item once a Scene as a Free Action when provoking an Attack of Opportunity to instead not provoke one.,3/10/2021 17:06:41,3/10/2021 17:06:41
6,Relic Crown,The holder gains a +2 Bonus to all Save Checks.,3/10/2021 17:06:41,3/10/2021 17:06:41
7,Primal Frame,The holder’s damaging attacks have their Critical Hit Range extended by +1.,3/10/2021 17:06:41,3/10/2021 17:06:41
8,Prehistoric Razors,"When a foe hits the holder with a damaging Melee Attack, the holder may cause them to lose a Tick of Hit Points as a Reaction.",3/10/2021 17:06:41,3/10/2021 17:06:41
9,Primal Cloak,The holder’s damaging attacks have their Effect Range extended by +1.,3/10/2021 17:06:41,3/10/2021 17:06:41
10,Prehistoric Aegis,The holder gains 5 Damage Reduction against Ranged Attacks.,3/10/2021 17:06:41,3/10/2021 17:06:41
11,Relic Sash,The holder gains +2 Evasion against Status Moves.,3/10/2021 17:06:41,3/10/2021 17:06:41
12,Mega Stone,Allows a specific species to mega evolve in combination with a mega ring.,3/10/2021 17:06:41,3/10/2021 17:06:41
13,Tiny Mushroom,"The user loses 5 HP, then gains 1 combat stage in a random stat.",3/10/2021 17:06:41,3/10/2021 17:06:41
14,Big Mushroom,"The user becomes poisoned. If they do, they gain 1 combat stage in 2 different random stats.",3/10/2021 17:06:41,3/10/2021 17:06:41
15,Balm Mushroom,"The user is cured of Burn, Paralysis, or Poison. If they are, they lose 1 combat stage in a random stat.",3/10/2021 17:06:41,3/10/2021 17:06:41
16,Big Root,HP Stealing moves restore double HP.,3/10/2021 17:06:41,3/10/2021 17:06:41
17,Bright powder,Add 2 to speed evasion.,3/10/2021 17:06:41,3/10/2021 17:06:41
18,Choice Band,"The users default state of the ATK stat is +2 combat stages.  The user is suppressed and cannot be cured until the end of combat, even if the item is removed.",3/10/2021 17:06:41,3/10/2021 17:06:41
19,Choice Scarf,"The users default state of the SPD stat is +2 combat stages.  The user is suppressed and cannot be cured until the end of combat, even if the item is removed.",3/10/2021 17:06:41,3/10/2021 17:06:41
20,Choice Specs,"The users default state of the SATK stat is +2 combat stages.  The user is suppressed and cannot be cured until the end of combat, even if the item is removed.",3/10/2021 17:06:41,3/10/2021 17:06:41
21,Choice Helm,"The users default state of the DEF stat is +2 combat stages.  The user is suppressed and cannot be cured until the end of combat, even if the item is removed.",3/10/2021 17:06:41,3/10/2021 17:06:41
