id,name,type,frequency,ac,damageBase,damageType,range,effect,createdAt,updatedAt
1,Attack Order,Bug,EOT,2,9,Physical,"6, 1 Target",Attack Order is a Critical Hit on 18+.,3/5/2021 22:15:12,3/5/2021 22:15:12
2,Bug Bite,Bug,At-Will,2,6,Physical,"Melee, 1 Target","If the target has a stored Digestion Buff or has traded in a Digestion Buff this Scene, the user may gain the effects of the Digestion Buff. This does not count towards the usual limit on the user’s Digestion Buffs.",3/5/2021 22:15:12,3/5/2021 22:15:12
3,Bug Buzz,Bug,Scene x2,2,9,Special,"Cone 2 or Close Blast 2, Sonic, Smite",Bug Buzz lowers the Special Defense of all targets on 19+.,3/5/2021 22:15:12,3/5/2021 22:15:12
4,Defend Order,Bug,EOT,,,Status,Self,Raise the user’s Defense and Special Defense 1 Combat Stage each.,3/5/2021 22:15:12,3/5/2021 22:15:12
5,Fell Stinger,Bug,At-Will,2,5,Physical,"Melee, 1 Target","If the user successfully knocks out a target with Fell Stinger, raise their Attack by 3 Combat Stages.",3/5/2021 22:15:12,3/5/2021 22:15:12
6,Fury Cutter,Bug,At-Will,3,4,Physical,"Melee, 1 Target","If Fury Cutter is used successfully and consecutively on the same target, the Damage Base is increased by +4 to a maximum of 16. For example, the first hit would have a DB of 4; the second hit a DB of 8; the third hit a DB of 12; the fourth and further hits a DB of 16. If Fury Cutter misses or fails to damage its target, its Damage Base resets.",3/5/2021 22:15:12,3/5/2021 22:15:12
7,Heal Order,Bug,Daily x2,,,Status,Self,The user regains Hit Points equal to half of its full Hit Point value.,3/5/2021 22:15:12,3/5/2021 22:15:12
8,Infestation,Bug,Scene x2,4,4,Special,"3, 1 Target",The target is put in a Vortex.,3/5/2021 22:15:12,3/5/2021 22:15:12
9,Leech Life,Bug,Scene x2,2,8,Physical,"Melee, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",3/5/2021 22:15:12,3/5/2021 22:15:12
10,Megahorn,Bug,Scene x2,5,12,Physical,"Melee, 1 Target, Push",The target is pushed 1 Meter.,3/5/2021 22:15:12,3/5/2021 22:15:12
11,Pin Missile,Bug,EOT,4,3,Physical,"6, 1 Target, Five Strike",None,3/5/2021 22:15:12,3/5/2021 22:15:12
12,Powder,Bug,Scene x2,,,Status,"6, 1 Target, Interrupt, Powder","The target is dusted with a Coat of flammable powder. If it uses a damaging Fire-Type attack, the attack is negated and instad creates a Blast 3 centered on itself as the powder explodes, and the Coat is removed. All targets within the Blast take damage equal to what the user of the Fire-Type attack would roll for the damage of their attack. This damage is Typeless or Fire- Type, whichever would be more effective.",3/5/2021 22:15:12,3/5/2021 22:15:12
13,Quiver Dance,Bug,Scene x2,,,Status,Self,"Raise the user’s Special Attack, Special Defense, and Speed by +1 Combat Stage each.",3/5/2021 22:15:12,3/5/2021 22:15:12
14,Rage Powder,Bug,Scene x2,,,Status,"Burst 1 or Line 6, Powder","All targets hit by Rage Powder are Enraged. While enraged, they must shift to target the user when using a Move or Attack if the user is within reach. If the user is Fainted or Switched out, all targets hit by Rage Powder are cured of rage.",3/5/2021 22:15:12,3/5/2021 22:15:12
15,Signal Beam,Bug,EOT,2,8,Special,"6, 1 Target",Signal Beam confuses the target on 19+.,3/5/2021 22:15:12,3/5/2021 22:15:12
16,Silver Wind,Bug,At-Will,2,6,Special,"6, 1 Target, Spirit Surge","On 19+, the user has each of its stats raised by +1 Combat Stage.",3/5/2021 22:15:12,3/5/2021 22:15:12
17,Spider Web,Bug,Scene x2,,,Status,5,"Spider Web cannot miss. The target is Stuck and Trapped. If the user is freed of the Stuck condition, they are freed of Trapped as well.",3/5/2021 22:15:12,3/5/2021 22:15:12
18,Steamroller,Bug,EOT,2,7,Physical,"Melee, Pass","Steamroller Flinches the target on 15+. If the target is Small, Steamroller deals an additional +5 Damage.",3/5/2021 22:15:12,3/5/2021 22:15:12
19,Sticky Web,Bug,EOT,,,Status,"6, Hazard","Set 8 square meters of Sticky Web hazards within your range, all 8 meters must be adjacent with at least one other space of Sticky Web. Sticky Web causes Terrain to become Slow Terrain, and a foe that runs into the hazard has its Speed lowered by one stage, and they become Slowed until the end of their next turn. Flyingtype Pokémon and Pokémon and Trainers with Levitate are not affected by Sticky Web. Bug-type Pokémon may move over Sticky Web harmlessly, destroying the Hazards as they do so.",3/5/2021 22:15:12,3/5/2021 22:15:12
20,String Shot,Bug,At-Will,3,,Status,Cone 2,"Targets have their Speed CS lowered by -1. If this lowers their Speed CS to -6, or if their Speed CS was already at -6, the target is instead Stuck.",3/5/2021 22:15:12,3/5/2021 22:15:12
21,Struggle Bug,Bug,At-Will,2,5,Special,Cone 2,"On hit, lowers the target’s Special Attack by -1 CS.",3/5/2021 22:15:12,3/5/2021 22:15:12
22,Tail Glow,Bug,Scene,,,Status,Self,Raise the user’s Special Attack 3 Combat Stages.,3/5/2021 22:15:12,3/5/2021 22:15:12
23,Twineedle,Bug,At-Will,3,3,Physical,"Melee, 1 Target, Double Strike",Twineedle Poisons the target on an Accuracy Check of 18+,3/5/2021 22:15:12,3/5/2021 22:15:12
24,U-Turn,Bug,At-Will,2,7,Physical,"Melee, 1 Target, Dash","If U-Turn successfully hits its target, the user deals damage and then immediately is returned to its Poké Ball in the same turn. A New Pokémon may immediately be sent out. Using U-Turn lets a Trapped user be recalled.",3/5/2021 22:15:12,3/5/2021 22:15:12
25,X-Scissor,Bug,At-Will,2,8,Physical,"Melee, 1 Target, Dash",None,3/5/2021 22:15:12,3/5/2021 22:15:12
26,Assurance,Dark,At-Will,2,6,Physical,"Melee, 1 Target","When you hit with Assurance, if Assurance’s target has already been damaged by a Move on the same round Assurance is being used, Assurance has a Damage Base of 12 (3d12+10 / 30) instead. This effect may trigger only once per Scene per Target.",3/5/2021 22:15:12,3/5/2021 22:15:12
27,Beat Up,Dark,EOT,,,Physical,"Melee, 1 Target","The user and up to two allies adjacent to the target may each make a Struggle Attack against the target. These Struggle Attacks hit for Dark-Type Damage instead of their usual Type. Beat Up may trigger Pack Hunt only once, no matter the number of attacks.",3/5/2021 22:15:12,3/5/2021 22:15:12
28,Bite,Dark,At-Will,2,6,Physical,"Melee, 1 Target",Bite Flinches the target on 15+.,3/5/2021 22:15:12,3/5/2021 22:15:12
29,Crunch,Dark,EOT,2,8,Physical,"Melee, 1 Target",Crunch lowers the target’s Defense 1 Combat Stage on 17+,3/5/2021 22:15:12,3/5/2021 22:15:12
30,Dark Pulse,Dark,EOT,2,8,Special,"8, 1 Target, Aura",Dark Pulse Flinches the target on 17+,3/5/2021 22:15:12,3/5/2021 22:15:12
31,Dark Void,Dark,EOT,9,,Status,"Melee, 1 Target","The target falls Asleep. Once per Scene, Dark Void may be used as if its range were “Burst 5, Friendly” instead.",3/5/2021 22:15:12,3/5/2021 22:15:12
32,Embargo,Dark,At-Will,2,,Status,"6, 1 Target","The target cannot use or benefit from held items for the remainder of the encounter. Embargo may only affect one target at a time; if Embargo is used on a new target, the previous target is freed from the effect.",3/5/2021 22:15:12,3/5/2021 22:15:12
33,Fake Tears,Dark,EOT,2,,Status,"8, 1 Target, Social",Lower the target’s Special Defense 2 Combat Stages.,3/5/2021 22:15:12,3/5/2021 22:15:12
34,Feint Attack,Dark,EOT,,6,Physical,"Melee, 1 Target",Feint Attack cannot miss.,3/5/2021 22:15:12,3/5/2021 22:15:12
35,Flatter,Dark,At-Will,2,,Status,"6, 1 Target, Social",The target’s Special Attack is raised by +1 Combat Stage. Flatter Confuses the target.,3/5/2021 22:15:12,3/5/2021 22:15:12
36,Fling,Dark,Scene x2,2,,Physical,"6, 1 Target, Fling","The user throws a held item, determining the effect of Fling.",3/5/2021 22:15:12,3/5/2021 22:15:12
37,Foul Play,Dark,Scene x2,2,10,Physical,"Melee, 1 Target","The target reveals its Attack stat. When calculating damage, add the target’s Attack stat instead of the user’s Attack stat.",3/5/2021 22:15:12,3/5/2021 22:15:12
38,Hone Claws,Dark,At-Will,,,Status,Self,"The user’s Accuracy is raised by +1, and the user gains +1 Attack Combat Stage.",3/5/2021 22:15:12,3/5/2021 22:15:12
39,Knock Off,Dark,Scene,2,7,Physical,"Melee, 1 Target",Choose one of the target’s Held Items or Accessory Slot Items. It is knocked to the ground.,3/5/2021 22:15:12,3/5/2021 22:15:12
40,Memento,Dark,Scene,,,Status,"8, 1 Target, Trigger, Free Action",Memento may be used as a Free Action when the user becomes Fainted. Memento’s target has each of their stats lowered by -2 CS.,3/5/2021 22:15:12,3/5/2021 22:15:12
41,Nasty Plot,Dark,EOT,,,Status,Self,Raise the user’s Special Attack 2 Combat Stages.,3/5/2021 22:15:12,3/5/2021 22:15:12
42,Night Daze,Dark,EOT,3,9,Special,"4, 1 Target",Night Daze lowers the target’s Accuracy by -1 on 13+.,3/5/2021 22:15:12,3/5/2021 22:15:12
43,Night Slash,Dark,EOT,2,7,Physical,"Melee, Pass",Night Slash is a Critical Hit on 18+,3/5/2021 22:15:12,3/5/2021 22:15:12
44,Parting Shot,Dark,At-Will,2,,Status,"6, 1 Target, Social","If Parting Shot successfully hits, the target’s Attack and Special Attack stats are lowered by one Combat Stage and the user is immediately recalled in the same turn. A new Pokémon may immediately be sent out. Using Parting Shot lets a Trapped user be recalled.",3/5/2021 22:15:12,3/5/2021 22:15:12
45,Payback,Dark,EOT,2,5,Physical,"Melee, 1 Target","If the target hit the user with a Damaging Move on the previous turn, Payback has a Damage Base of 10 (3d8+10 / 24) instead.",3/5/2021 22:15:12,3/5/2021 22:15:12
46,Punishment,Dark,EOT,2,6,Physical,"Melee, 1 Target","Punishment’s Damage Base is raised by +1 for each positive Combat Stage the target has, to a maximum of DB 12.",3/5/2021 22:15:12,3/5/2021 22:15:12
47,Pursuit,Dark,At-Will,2,4,Physical,"Melee, 1 Target","If the foe is fleeing or being switched out, Pursuit may be used as an Interrupt, targeting the triggering foe. When used as an Interrupt, Pursuit grants the user a +5 bonus to all Movement Speeds, and has a Damage Base of 8 (2d8+10 / 19).",3/5/2021 22:15:12,3/5/2021 22:15:12
48,Quash,Dark,At-Will,2,,Status,"10, 1 Target, Social",Quash changes the target’s Initiative to 0 for the remainder of the round.,3/5/2021 22:15:12,3/5/2021 22:15:12
49,Snarl,Dark,EOT,3,6,Special,"Cone 2, Sonic",All Legal Targets have their Special Attack lowered 1 Combat Stage.,3/5/2021 22:15:12,3/5/2021 22:15:12
50,Snatch,Dark,Scene x2,,,Status,"6, 1 Target, Interrupt","If the target uses a Self-Targeting Move, you may use Snatch. You gain the benefits of the Self-Targeting Move instead of the target.",3/5/2021 22:15:12,3/5/2021 22:15:12
51,Sucker Punch,Dark,At-Will,2,7,Physical,"Melee, 1 Target, Interrupt, Trigger","If an adjacent foe targets the user with a Damaging Attack, Sucker Punch may be used as an Interrupt Move against the triggering foe.",3/5/2021 22:15:12,3/5/2021 22:15:12
